reich	rich
absolut	absolute ('a_')
bekannt	famous, known, noted (for sth)
tief	1. deep. 2. low
traurig	sad
seltsam	odd, peculiar, strange ('merkwürdig' or ...)
sauber	clean (not 'rein')
irgendwann	sometime (i~)
neun	nine
gegenüber	across (from)
ungefähr	about, roughly, approximately, approximate (etwa, or ...)
übrigens	by the way
sauer	sour, annoyed
entfernt	remote, distant, away, removed
statt	instead of ('s_')
furchtbar	terrible, awful, dreadful ('f_')
schuldig	guilty
nämlich	namely
lieb	dear (teuer, liebe, or ...)
persönlich	personal
interessant	interesting
kaputt	broken
nervös	nervous
zuhause	at home ('z_')
süß	sweet
nachts	at night ('bei Nacht' or ...)
wunderschön	gorgeous, beautiful, wonderful
entlang	along, alongside
geliebt	beloved
heiß	hot
pro	per
ewig	forever (immer, or ...)
teilen	1. to divide. 2. to share
drinnen	inside there
miteinander	with one another, together
zufrieden	pleased, satisfied (befriedigt, or ...)
wütend	furious ('w_')
vorwärts	forward, forwards, ahead
nah	near
witzig	witty, funny
kurzlebig	short-lived, transient, ephemeral
~ zufolge	according to ~ (not 'n...')
halb	half
England	England
beschäftigt	busy
schließlich	at last, finally ('s')
betrunken	drunk
soweit	insofar as, as far as, provided (that), to the extent (that) (it be possible) (not 'insofern')
schwierig	difficult, (schwer, or ...)
besorgt	worried
gesund	healthy
davor	beforehand, before that
leer	empty
verantwortlich	responsible ('v_')
blöd	stupid, silly, dumb (not 'd...')
vermutlich	probably ('wahrscheinlich' or ...)
zuvor	previously, before ('z_')
englisch	English (adj.)
Englisch	English (language)
lächerlich	ridiculous, laughable, absurd
offensichtlich	obviously, obvious, apparent, apparently (O_)
zufällig	by chance
tragbar	portable, sustainable, acceptable, wearable, hand-held
fern	far, distant (weit, entfernt, ... )
geschlossen	closed
warm	warm
fantastisch	fantastic
irgendwelche	any (irgendein, ... )
morgens	in the morning ('m_')
mitten	in the middle (one word)
einverstanden	agreed, all right!
gemeinsam	common, mutual, together
schwarz	black
dick	thick, fat
leise	quiet, quietly
umsonst	free, without cost, for nothing, in vain
rot	red
schwanger	pregnant
Frankreich	France
zweimal	twice
blind	blind
ähnlich	similar
mindestens	at least ('m_')
erforderlich	required, necessary (not 'n...')
dunkel	dark
fair	fair
locker	loose, relaxed, cool
satt	replete, sated, full
dringend	urgent, desperately, pressing, urgently
ebenso	just as
weshalb	why (warum, ..., wieso)
nachher	afterwards, later (not 'd')
abends	in the evening
Europa	Europe (n.)
beinahe	almost (fast, ... )
klug	clever, smart, savvy (not 'schlau, 'clever')
schick	fashionable, fancy, chic, posh
normalerweise	normally
einander	each other, one another
wundervoll	marvelous
teuer	expensive
scharf	sharp, spicy
trotz	in spite of
langweilig	boring
nieder	down, low, mean
selbstverständlich	self-evident, taken for granted '(s_')
schwach	weak
seitdem	since which (seither, ... )
neulich	recent, recently, lately, newly ('n_')
freundlich	friendly
eifersüchtig	jealous ('neidisch' or ...)
erste	first
außerhalb	outside, beyond (3 syllables)
peinlich	embarrassing
schlau	smart, schrewd, clever, sly (not 'klug,' 'clever')
blau	blue, drunk
wild	wild
frisch	fresh
mehrere	several, various, umpteen (col) ('m_')
vergeben	1. to forgive 2. to award
zwölf	twelve
Kalifornien	California
jederzeit	(at) any time
Mexiko	Mexico
auseinander	separated (not 'getrennt')
verwirrt	confused
französisch	French (adj.)
ausgezeichnet	excellent
hungrig	hungry
aufgeregt	excited (begeistert, erregt, or ...)
getrennt	separated (auseinander or ...)
schief	crooked, lopsided (not 'krumm')
selten	seldom
grün	green
gebraucht	second hand
irgendein	any/ of some sort (irgendwelche, ... )
enttäuscht	disappointed
fein	subtle, fine, finely, delicate, dainty
merkwürdig	odd, peculiar, strange ('seltsam' or ...)
dicht	dense
geheim	secret, confidential, classified
weiterhin	furthermore, beyond, further on (außerdem, zusätzlich, or ...)
spitze	great ('s_')
Deutschland	Germany
gemein	mean, nasty, cruel
zuletzt	last, recently, finally, lastly (z_)
heutzutage	nowadays
dahinter	behind it, behind that
streng	strict, rigorous, harsh, severe
praktisch	practical
China	China
vernünftig	sensible, reasonable (sinnvoll, or ...)
einst	Once (at some time in the past) at one time
inzwischen	in the meantime, meanwhile, by now (not 'mittlerweile', 'zwischenzeitlich')
täglich	daily
bewusst	conscious
Mars	Mars
angenehm	pleasant, enjoyable, sympathetic
rechtzeitig	on time (punctual), in time (to accomplish sth)
neugierig	curious ('n_')
negativ	negative
daneben	beside it
gegenseitig	mutual
anstatt	instead of ('a_')
deutlich	distinct, obvious, plain, marked, distinctly (d_)
