das	Flugzeug/ -e	the airplane
die	Gefahr/ -en	the danger, risk
die	Bank/ -en	the bank
der	Professor/ -en	the professor
der	Partner/ -s	the partner ('Gesellschafter' or ...)
das	Opfer/ -	the sacrifice, victim, casualty
der	See/ -n	the lake
die	See/ -n	the sea ('Meer' or ...)
das	Meer/ -e	the sea ('See' or ...)
die	Hochzeit/ -en	the wedding
der	Geburtstag/ -e	the birthday
der	Hut/ -"e	the hat
die	Liste/ -n	the list
die	Karte/ -n	the card
die	Gesellschaft/ -en	the society
die	Kirche/ -n	the church
die	Kontrolle/ -n	the inspection, monitoring, examination, control (K_)
das	Zeichen/ -	the sign
das	Foto/ -s	the photo
das	Aussehen	the physical appearance, looks, look
die	Hoffnung/ -en	the hope
der	Ball/ -"e	the ball (as in a dance event)
der	Wein/ -e	the wine
die	Szene/ -n	the scene
das	Vergnügen/ -	the pleasure, the delight
die	Tante/ -n	the aunt
der	Fuß/ -"e	the foot
der	Mut	the courage (no plural)
das	Geheimnis/ -se	the secret
das	Bein/ -e	the leg
die	Gruppe/ -n	the group
der	Amerikaner/ -	the American person
der	Hals/ -"e	the neck
der	Besuch/ -e	the visit
die	Entscheidung/ -en	the decision
der	Wind/ -e	the wind
der	Polizist/ -en/ -en	the male police officer
die	Sekunde/ -n	the second
das	Dorf/ -"er	the village
das	Glas/ -"er	the glass
die	Firma/ die Firmen	the company, the enterprise
die	Lust	the desire (to do sth.)/ the passion (no plural)
der	Blick/ -e	the glimpse, sight, glance, look, view
der	Meter/ -	the meter
das	Loch/ -"er	the hole
die	Freude/ -n	the joy
die	Insel/ -n	the island
das	Fleisch	the meat (no plural)
der	Schmerz/ -en	the pain
die	Zeitung/ -en	the newspaper
das	Gebäude/ -	the building
das	Messer/ -	the knife
der	Kontakt/ -e	the contact
der	Rat/ -"e	the advice, counsel (Ratschlag, Beratung, or ...)
die	Aufmerksamkeit/ -en	the attention, interest, attentiveness
die	Lage/ -n	1. the location, position. 2. the situation
das	Schicksal/ -e	the fate
der	Punkt/ -e	the dot, the period
der	Witz/ -e	the joke
die	mal	this time
der	Unfall/ -"e	the accident
der	Hunger	the hunger (no plural)
die	Kamera/ -s	the camera ('K_')
das	Taxi/ -s	the taxi
der	Tee	the tea (no plural)
das	Haar/ -e	the hair
der	Bus/ -se	the bus (Autobus, or ...)
der	Richter/ -	the judge
das	Lied/ -er	the song
der	Computer/ -	the computer
das	Verstecken	the hide and seek
die	Königin/ -nen	the queen
der	Bericht/ -e	the report
der	Fisch/ -e	the fish
die	Vergangenheit/ -en	the past
der	Agent/ -en/ -en	the agent
die	Position/ -en	the position ('p_')
die	Küche/ -n	the kitchen
der	Ring/ -e	the ring
die	Gegend/ -en	the area, neighborhood, region
die	Verbindung/ -en	the connection, the combination, the link
das	Kleid/ -er	the dress (generally worn by women)
die	Ecke/ -n	the corner
das	Radio/ -s	the radio
das	Eis	the ice (no plural)
der	Flug/ -"e	the flight
die	Maschine/ -n	the machine
der	Sommer/ -	the summer
der	Respekt	the respect ('Hinsicht' or ...)
die	Adresse/ -n	the address
die	Fahrt/ -en	the journey, trip ('F_')
die	Aufgabe/ -n	the task, assignment, purpose, duty, surrender, job
die	Beziehung/ -en	the relationship
der	Wald/ -"er	the forest
der	Park/ -s	the park
die	Hälfte/ -n	the half
der	Koffer/ -	the suitcase
